3T5,1.08932461873725E-05,0,0,-9.49126803341075E-06,-96.9569989106754,29.9196611617312,91799.9999999269,0,0,-105359.999999984,8900652.49999292,3152335.49999951
9G6,1.0416666666675E-05,0,0,-7.6382523678578E-06,-78.281828125,43.1827642835319,95999.9999999236,0,0,-130920.000000007,7515055.49999402,5653487.50000032
ABE,1.86428038777021E-05,0,0,-1.41884222474453E-05,-75.4561428038777,40.6715971433977,53640.0000000031,0,0,-70480.000000004,4047467.50000023,2866534.16666683
ABI,2.664534988734E-05,-4.37369259401251E-09,-5.15683179549836E-09,-2.25988696332626E-05,-99.7046165863102,32.4386136963508,37529.9992971376,-7.26340222510888,-8.56396345486459,-44249.9991712853,3742191.99350782,1434684.4344472
ABQ,0,-3.00300300300283E-05,-3.64431486880446E-05,0,-106.549192176871,35.0627777777778,0,-27440.0000000016,-33300.0000000019,0,1167590.50000007,-2923709.8333335
ABR,1.62443142112868E-05,-2.1172780282662E-09,-3.00876351385197E-09,-1.14311840746092E-05,-98.431648323214,45.4627989181331,61559.9989440569,-11.4021113065488,-16.2030002777272,-87479.9984994493,6060188.80058233,3975963.25252878
ABY,1.25125125125225E-05,0,0,-1.06974753958083E-05,-84.2034972472473,31.5479193410355,79919.9999999364,0,0,-93479.9999999854,6729543.49999464,2949099.49999954
ACK,1.83958793230306E-05,0,0,-1.38773244518449E-05,-70.075487490802,41.2712253677491,54360.0000000031,0,0,-72060.0000000041,3809303.50000022,2974004.50000017
ACT,1.91570785822669E-05,1.61803420072037E-08,1.91188409004659E-08,-1.62127026912181E-05,-97.2437880196874,31.6317557473071,52199.97400411,52.0957824392315,61.5568555718736,-61679.9692830174,5074176.05526885,1956111.71408605
ACY,0,-1.51653017895047E-05,-1.95618153364621E-05,0,-74.5526115023474,39.4685699120412,0,-51120.0000000029,-65940.0000000037,0,2602557.50000015,-3811129.50000022
ADM,2.03004466098243E-05,0,0,-1.68350168350207E-05,-97.0317295980512,34.3248232323232,49260.0000000028,0,0,-59399.9999999865,4779783.00000027,2038894.49999954
ADQ,2.83929585463031E-05,0,0,-1.51791135397684E-05,-152.522416240772,57.7671751669702,35219.999999972,0,0,-65880.0000000038,5371839.49999573,3805701.50000022
ADS,1.27032520325304E-05,0,0,-1.06906136412224E-05,-96.8448996443089,32.9817297412872,78719.9999999374,0,0,-93540.0000000053,7623630.49999393,3085111.00000018
ADW,2.60824204486384E-05,0,0,-2.03998368013131E-05,-76.8907276995305,38.8355467156263,38339.9999999695,0,0,-49019.9999999819,2947990.49999765,1903718.4999993
AEG,2.33426704014926E-05,0,0,-1.91570881226043E-05,-106.815347805789,35.169837164751,42840.0000000024,0,0,-52200.000000003,4575969.50000026,1835865.5000001
AEX,2.39808153477205E-05,0,0,-2.11505922165809E-05,-92.5649040767386,31.3537542301184,41700.0000000024,0,0,-47280.0000000027,3859956.50000022,1482405.50000008
AFW,2.19876650249523E-05,2.60612681565082E-08,3.10122214738396E-08,-1.84774391229643E-05,-97.3365269263884,33.0107236003807,45479.9547626332,64.1466216680299,76.3327872619565,-54119.9461687271,4424341.04082202,1792782.39361056
AGC,0,-9.15750915750864E-06,-1.19645848289058E-05,0,-79.9146566164154,40.3609203296703,0,-83580.0000000048,-109200.000000006,0,4407412.50000025,-6679267.00000038
AGS,1.77683013503899E-05,0,0,-1.49075730471071E-05,-81.976341506752,33.3883944543828,56280.0000000032,0,0,-67080.0000000038,4613628.50000026,2239693.50000013
AHN,1.83553597650504E-05,0,0,-1.52765047357221E-05,-83.3434563142438,33.9674992361748,54480.0000000031,0,0,-65459.9999999758,4540551.50000026,2223512.49999918
AIA,2.67094017094002E-05,0,0,-1.99123855037865E-05,-102.82984775641,42.0752787733971,37440.0000000021,0,0,-50219.9999999921,3849949.50000022,2113020.49999967
AID,1.59948816378613E-05,0,0,-1.22819945959217E-05,-85.6255198336532,40.1235875706215,62520.0000000569,0,0,-81420.0000000046,5353307.50000487,3266862.50000019
AIZ,1.45687645687637E-05,0,0,-1.15260488704466E-05,-92.5612543706294,38.1102293683725,68640.0000000039,0,0,-86760.0000000049,6353404.50000036,3306443.50000019
AKN,3.20821297021174E-05,-3.09915032086433E-09,-5.94774373417082E-09,-1.67168168307422E-05,-156.675080865081,58.6975033349501,31169.9994643471,-5.77864283729089,-11.0900999206526,-59819.9989720001,4884213.14781818,3510379.21982186
AKR,1.51929504709806E-05,0,0,-1.14942528735626E-05,-81.4796718322698,41.0491436781609,65820.0000000037,0,0,-87000.0000000049,5362992.0000003,3571275.5000002
ALB,1.92233756247586E-05,0,0,-1.41562853907127E-05,-73.8147058823529,42.7648947716119,52020.000000003,0,0,-70640.000000004,3839841.00000022,3020912.16666684
ALN,2.36071765816795E-05,0,0,-1.84162062615091E-05,-90.0637275731822,38.9117219152855,42360.0000000024,0,0,-54300.0000000031,3815099.50000022,2112906.50000012
ALO,2.07296849087882E-05,0,0,-1.53186274509861E-05,-92.4145004145937,42.5759420955882,48240.0000000027,0,0,-65279.9999999759,4458075.50000025,2779357.49999897
ALS,1.92455735180897E-05,0,0,-1.53609831029243E-05,-105.881302925327,37.4534715821813,51960.000000003,0,0,-65099.9999999759,5501592.50000031,2438220.9999991
ALW,1.85391175380041E-05,0,0,-1.28899200824948E-05,-118.29977753059,46.1091067285383,53940.0000000031,0,0,-77580.0000000044,6381090.00000036,3577144.5000002
