4J3,-85.0,28.5,
2XG,-78.5,30.3333333333333,
ZUN,-109.15,34.95,
YKM,-120.433333333333,46.5666666666667,
WJF,-118.216666666667,34.7333333333333,
TYS,-83.8833333333333,35.9,
TVC,-85.5333333333333,44.6666666666667,
TUS,-110.816666666667,32.1166666666667,
TUL,-95.7833333333333,36.1833333333333,
TRI,-82.4,36.4666666666667,
TLH,-84.3666666666667,30.55,
TCC,-103.583333333333,35.1666666666667,
T07,-88.0,28.5,
T06,-91.0,28.5,
T01,-93.5,28.5,
SYR,-76.2,43.15,
STL,-90.4666666666667,38.85,
SSM,-84.3,46.4,
SPS,-98.5833333333333,33.9833333333333,
SPI,-89.6666666666667,39.8333333333333,
SLN,-97.6166666666667,38.8666666666667,
SLC,-111.966666666667,40.85,
SIY,-122.45,41.7833333333333,
SHV,-93.8,32.7666666666667,
SGF,-93.3333333333333,37.35,
SFO,-122.366666666667,37.6166666666667,
SEA,-122.3,47.4333333333333,
SBA,-119.766666666667,34.5,
SAV,-81.1,32.15,
SAT,-98.45,28.6333333333333,
SAN,-117.183333333333,32.7333333333333,
SAC,-121.55,38.4333333333333,
ROW,-104.616666666667,33.3333333333333,
ROA,-80.0666666666667,37.3333333333333,
RNO,-119.65,39.5166666666667,
RKS,-109.0,41.5833333333333,
RIC,-77.3166666666667,37.5,
RDU,-78.7833333333333,35.8666666666667,
RDM,-121.3,44.25,
RBL,-122.233333333333,40.0833333333333,
RAP,-103.0,43.9666666666667,
PWM,-70.3,43.6333333333333,
PUB,-104.416666666667,38.2833333333333,
PSX,-96.3,28.75,
PSB,-77.9833333333333,40.9,
PRC,-112.466666666667,34.7,
PLB,-73.4,44.8,
PIR,-100.15,44.3833333333333,
PIH,-112.65,42.8666666666667,
PIE,-82.6833333333333,27.9,
PHX,-111.883333333333,33.4166666666667,
PFN,-85.6666666666667,30.2,
PDX,-122.583333333333,45.7333333333333,
OTH,-124.166666666667,43.4,
ORF,-76.2,36.8833333333333,
ONT,-117.6,34.05,
ONL,-98.6833333333333,42.4666666666667,
OMA,-95.7333333333333,41.1666666666667,
OKC,-97.6333333333333,35.4,
MSY,-90.1666666666667,30.0166666666667,
MSP,-93.3666666666667,45.1333333333333,
MRF,-103.616666666667,30.2833333333333,
MQT,-87.5833333333333,46.5166666666667,
MOT,-101.283333333333,48.25,
MOB,-88.2333333333333,30.6833333333333,
MLS,-105.95,46.3666666666667,
MLB,-80.6333333333333,28.1,
MKG,-86.0333333333333,43.1666666666667,
MKC,-94.5833333333333,39.2666666666667,
MIA,-80.45,25.95,
MGM,-86.3166666666667,32.2166666666667,
MEM,-89.9666666666667,35.05,
MCW,-93.3166666666667,43.0833333333333,
MBW,-106.0,41.8333333333333,
LWS,-116.866666666667,46.3666666666667,
LSE,-91.25,43.8666666666667,
LRD,-99.4166666666667,27.4666666666667,
LOU,-85.5666666666667,38.1,
LND,-108.716666666667,42.8,
LKV,-120.5,42.4833333333333,
LIT,-92.1666666666667,34.6666666666667,
LCH,-93.1,30.1333333333333,
LBB,-101.9,33.7,
LAS,-115.15,36.0666666666667,
JOT,-88.3166666666667,41.5333333333333,
JFK,-73.7666666666667,40.6166666666667,
JAX,-81.55,30.4333333333333,
JAN,-90.1666666666667,32.5,
INL,-93.4,48.55,
INK,-103.233333333333,31.8666666666667,
IND,-86.3666666666667,39.8,
IMB,-119.7,44.6333333333333,
ILM,-77.8666666666667,34.35,
ICT,-97.45,37.7166666666667,
HSV,-86.7666666666667,34.55,
HOU,-95.2666666666667,29.6333333333333,
HAT,-75.55,35.2666666666667,
H61,-84.0,26.5,
H52,-89.5,26.0,
H51,-95.0,26.5,
GTF,-111.4,47.45,
GSP,-82.2166666666667,34.8833333333333,
GRI,-98.3,40.9833333333333,
GRB,-88.1833333333333,44.55,
GLD,-101.683333333333,39.3833333333333,
GJT,-108.783333333333,39.05,
GGW,-106.616666666667,48.2,
GFK,-97.1833333333333,47.95,
GEG,-117.616666666667,47.55,
GCK,-100.716666666667,37.9166666666667,
GAG,-99.8666666666667,36.3333333333333,
FWA,-85.1833333333333,40.9666666666667,
FSM,-94.2666666666667,35.3833333333333,
FSD,-96.7666666666667,43.6333333333333,
FOT,-124.233333333333,40.6666666666667,
FMN,-108.083333333333,36.7333333333333,
FLO,-79.65,34.2166666666667,
GPI,-114.166666666667,48.2,
FAT,-119.8,36.8833333333333,
EYW,-81.8,24.5833333333333,
EVV,-87.5166666666667,38.0333333333333,
EMI,-76.9666666666667,39.4833333333333,
ELY,-114.833333333333,39.2833333333333,
ELP,-106.266666666667,31.8,
EKN,-80.0833333333333,38.9,
ECK,-82.7166666666667,43.25,
DSM,-93.6333333333333,41.4333333333333,
DRT,-100.916666666667,29.3666666666667,
DLN,-112.533333333333,45.2333333333333,
DLH,-92.2,46.8,
DIK,-102.766666666667,46.85,
DEN,-104.883333333333,39.8,
DBQ,-90.7,42.4,
DAL,-96.85,32.8333333333333,
CZI,-106.433333333333,43.9833333333333,
CVG,-84.7,39.0,
CSG,-85.0166666666667,32.6,
CRW,-81.7666666666667,38.3333333333333,
CRP,-97.4333333333333,27.9,
COU,-92.2166666666667,38.8,
CMH,-82.9166666666667,39.9833333333333,
CLL,-96.4166666666667,30.6,
CLE,-82.15,41.35,
CHS,-80.0333333333333,32.8833333333333,
CGI,-89.5666666666667,37.2166666666667,
CAR,-68.0166666666667,46.8666666666667,
CAE,-81.05,33.85,
BUF,-78.6333333333333,42.9166666666667,
BRO,-97.3666666666667,25.9166666666667,
BRL,-90.9166666666667,40.7166666666667,
BOS,-70.9833333333333,42.35,
BOI,-116.233333333333,43.5666666666667,
BNA,-86.6666666666667,36.1166666666667,
BML,-71.1833333333333,44.6333333333333,
BLH,-114.75,33.5833333333333,
BIL,-108.616666666667,45.8,
BIH,-118.35,37.3666666666667,
BHM,-86.7333333333333,33.55,
BGR,-68.8666666666667,44.8333333333333,
BFF,-103.466666666667,41.8833333333333,
BDL,-72.6833333333333,41.9333333333333,
BCE,-112.3,37.6833333333333,
BAM,-116.916666666667,40.5666666666667,
AXN,-95.2166666666667,45.95,
AVP,-75.6833333333333,41.2666666666667,
ATL,-84.4333333333333,33.6166666666667,
AST,-123.866666666667,46.15,
AMA,-101.633333333333,35.2833333333333,
ALS,-105.8,37.3333333333333,
ALB,-73.8,42.7333333333333,
AGC,-80.0333333333333,40.2666666666667,
ACY,-74.5666666666667,39.45,
ACK,-70.0166666666667,41.2666666666667,
