3T5,1.08932461873725E-05,0,0,-9.49126803341075E-06,-96.9569989106754,29.9196611617312,91799.9999999269,0,0,-105359.999999984,8900652.49999292,3152335.49999951
9G6,1.0416666666675E-05,0,0,-7.6382523678578E-06,-78.281828125,43.1827642835319,95999.9999999236,0,0,-130920.000000007,7515055.49999402,5653487.50000032
ABE,1.86428038777021E-05,0,0,-1.41884222474453E-05,-75.4561428038777,40.6715971433977,53640.0000000031,0,0,-70480.000000004,4047467.50000023,2866534.16666683
ABI,2.66453498877261E-05,-4.36903825620129E-09,-5.1548365037195E-09,-2.25835587463045E-05,-99.7046165887797,32.4386101175056,37529.9992976814,-7.2605918548426,-8.56645369923875,-44279.9991713651,3742192.07440414,1435657.71459629
ABQ,0,-2.99760191846506E-05,-3.64431486880446E-05,0,-106.549192176871,35.0627547961631,0,-27440.0000000016,-33360.0000000019,0,1169693.50000007,-2923709.8333335
ABY,1.25125125125225E-05,0,0,-1.06974753958083E-05,-84.2034972472473,31.5479193410355,79919.9999999364,0,0,-93479.9999999854,6729543.49999464,2949099.49999954
ACK,1.83958793230306E-05,0,0,-1.38773244518449E-05,-70.075487490802,41.2712253677491,54360.0000000031,0,0,-72060.0000000041,3809303.50000022,2974004.50000017
ACT,1.91570594516037E-05,2.8049630624344E-08,3.31437014733628E-08,-1.62126865008708E-05,-97.2438053600235,31.6317461546902,52199.9218761137,90.3112835226881,106.712643058992,-61679.9076880976,5072743.5354925,1959825.39571132
ACY,0,-1.51515151515143E-05,-1.95618153364621E-05,0,-74.5526115023474,39.4685681818182,0,-51120.0000000029,-66000.0000000038,0,2604925.50000015,-3811129.50000022
ADM,1.84569948492784E-05,-2.98950331833138E-09,-3.60417786551034E-09,-1.5309246493175E-05,-97.0310402054745,34.3208714655824,54179.9989670052,-10.5799646488977,-12.7553209831267,-65319.9987545916,5257579.43183201,2240812.69641312
ADQ,2.83929585463031E-05,0,0,-1.51791135397684E-05,-152.522416240772,57.7671751669702,35219.999999972,0,0,-65880.0000000038,5371839.49999573,3805701.50000022
ADS,1.20076849183573E-05,0,0,-1.01010101010095E-05,-96.8443503842459,32.9810757575758,83279.9999999337,0,0,-99000.0000000056,8065197.49999358,3265126.50000018
ADW,2.60824204486384E-05,0,0,-2.03998368013131E-05,-76.8907276995305,38.8354855161159,38339.9999999695,0,0,-49019.9999999819,2947990.49999765,1903715.4999993
AEG,2.33426704014926E-05,0,0,-1.91570881226043E-05,-106.815347805789,35.169837164751,42840.0000000024,0,0,-52200.000000003,4575969.50000026,1835865.5000001
AEX,2.39808153477205E-05,0,0,-2.11505922165809E-05,-92.5649040767386,31.3537542301184,41700.0000000024,0,0,-47280.0000000027,3859956.50000022,1482405.50000008
AFW,2.19876800432221E-05,1.45713074600125E-08,1.73586947709648E-08,-1.84569894493492E-05,-97.3365100422614,33.0107025268369,45479.985826879,35.9052519685887,42.7736708807857,-54179.9831156619,4425451.10823449,1792014.19745897
AGC,0,-9.15750915750864E-06,-1.19645848289058E-05,0,-79.9146566164154,40.3609203296703,0,-83580.0000000048,-109200.000000006,0,4407412.50000025,-6679267.00000038
AGS,1.77683013503899E-05,0,0,-1.49075730471071E-05,-81.976341506752,33.3883944543828,56280.0000000032,0,0,-67080.0000000038,4613628.50000026,2239693.50000013
AHN,1.83351668500173E-05,0,0,-1.52765047357221E-05,-83.3434451778511,33.9674992361748,54540.0000000031,0,0,-65459.9999999758,4545551.50000026,2223512.49999918
AIA,2.67094007566864E-05,5.31847884442295E-09,7.13392114227735E-09,-1.99123847935195E-05,-102.829856583869,42.0752744831649,37439.9986645321,9.99999964330452,13.4134610600066,-50219.9982086646,3849385.31811823,2114048.50770277
AID,1.59948816378613E-05,0,0,-1.22819945959217E-05,-85.6255198336532,40.1235875706215,62520.0000000569,0,0,-81420.0000000046,5353307.50000487,3266862.50000019
AIZ,1.45687645687637E-05,0,0,-1.15260488704466E-05,-92.5612543706294,38.1102293683725,68640.0000000039,0,0,-86760.0000000049,6353404.50000036,3306443.50000019
AKN,3.2082130253447E-05,0,0,-1.67168171180198E-05,-156.675088225858,58.6975008358408,31170.0000000018,0,0,-59820.0000000034,4883562.50000028,3511284.5000002
AKR,1.52068117360121E-05,-3.98967448148254E-09,-5.27831021728985E-09,-1.14942521811512E-05,-81.4796847690555,41.0491468949765,65759.9960386352,-22.825406469502,-30.1978461503448,-86999.9947591432,5359343.34346487,3569415.7578064
ALB,1.92012288786471E-05,0,0,-1.41643059490077E-05,-73.8146985407066,42.7649126534466,52080.000000003,0,0,-70600.000000004,3844269.50000022,3019202.8333335
ALN,2.36071765816795E-05,0,0,-1.84162062615091E-05,-90.0637275731822,38.9117219152855,42360.0000000024,0,0,-54300.0000000031,3815099.50000022,2112906.50000012
ALO,2.07296849087882E-05,0,0,-1.53186274509861E-05,-92.4145004145937,42.5759420955882,48240.0000000027,0,0,-65279.9999999759,4458075.50000025,2779357.49999897
ALS,1.92455735180897E-05,0,0,-1.53609831029243E-05,-105.881302925327,37.4534715821813,51960.000000003,0,0,-65099.9999999759,5501592.50000031,2438220.9999991
ALW,1.85391175380041E-05,0,0,-1.28899200824948E-05,-118.29977753059,46.1091067285383,53940.0000000031,0,0,-77580.0000000044,6381090.00000036,3577144.5000002
AMA,4.21578022961489E-05,-1.97114841490326E-07,-2.45313242866517E-07,-3.38747652596463E-05,-101.740428002138,35.2579665290038,23719.5984314242,-138.022650465245,-171.771865165834,-29519.5002401167,2419298.42312459,1026755.06788663
